date,open,high,low
20240617T,201.16,278.28,168.93
20240630T,199.13,276.22,167.3
20240730T,203.7,281.1,171.2
20240823T,208.4,300.22,170.89
20240918T,209.64,294.69,171.75
20250630T,210,303,167
